customer_id,_id,pk,order_count,total_dollar_amount,total_item_count
1,1,1,3,12020.61,7
2,2,2,1,3978.1,3
3,3,3,5,13322.51,12
4,4,4,2,8909.66,5
5,5,5,2,8477.15,5
6,6,6,3,7818.78,8
7,7,7,2,4680.32,5
8,8,8,4,9896.73,8
9,9,9,4,10545.76,10
10,10,10,5,19615.480000000003,12
11,11,11,3,12609.81,8
12,12,12,4,10562.85,12
13,13,13,2,3991.96,4
14,14,14,5,17326.62,13
15,15,15,3,12974.39,9
16,16,16,4,13344.74,10
17,17,17,3,11378.019999999999,8
18,18,18,3,15198.0,8
20,20,20,2,3804.5,4
21,21,21,2,7874.110000000001,5
22,22,22,3,7231.7,8
23,23,23,5,16953.18,11
24,24,24,2,9911.97,4
25,25,25,1,1990.01,3
26,26,26,1,455.26,2
27,27,27,3,15062.169999999998,8
28,28,28,3,8474.26,7
29,29,29,3,6182.28,7
30,30,30,2,5537.79,4
31,31,31,1,2762.63,2
32,32,32,1,4594.14,2
33,33,33,4,14511.75,9
34,34,34,7,30266.25,18
35,35,35,3,9724.009999999998,8
36,36,36,2,9455.91,5
37,37,37,4,17428.03,11
38,38,38,2,9308.17,5
39,39,39,1,3623.13,2
40,40,40,3,8306.81,6
41,41,41,3,11075.23,8
42,42,42,4,13084.810000000001,10
43,43,43,7,23139.159999999996,17
44,44,44,1,1249.22,3
45,45,45,2,7547.02,4
46,46,46,6,20825.76,16
47,47,47,2,6557.85,6
48,48,48,3,16033.27,9
50,50,50,5,18643.03,12
51,51,51,4,16771.4,11
52,52,52,3,6711.58,7
53,53,53,6,21156.059999999998,15
54,54,54,3,8003.92,8
55,55,55,4,25595.299999999996,12
56,56,56,4,15803.000000000002,10
57,57,57,1,4270.8,3
58,58,58,4,16647.37,9
59,59,59,5,18003.480000000003,15
60,60,60,3,13800.300000000001,7
61,61,61,2,8360.93,5
62,62,62,2,7356.299999999999,6
63,63,63,3,6819.5,6
64,64,64,3,7535.4,8
65,65,65,2,9049.43,5
66,66,66,3,10007.75,7
67,67,67,4,12490.25,10
68,68,68,3,9960.96,7
69,69,69,1,7516.88,3
70,70,70,3,13405.82,8
71,71,71,5,21386.690000000002,13
72,72,72,3,7926.02,7
73,73,73,2,2603.38,6
75,75,75,4,11824.3,9
76,76,76,3,14540.36,9
77,77,77,5,20591.649999999998,12
79,79,79,7,26581.039999999994,18
80,80,80,4,18122.7,9
81,81,81,3,15919.369999999999,8
82,82,82,4,17047.24,12
83,83,83,2,11252.54,6
84,84,84,2,6136.89,5
85,85,85,5,16577.17,12
86,86,86,2,4419.42,4
87,87,87,1,2482.98,2
88,88,88,1,6052.42,2
89,89,89,3,14110.72,7
90,90,90,1,4222.28,3
91,91,91,2,5815.58,6
92,92,92,9,17724.86,20
93,93,93,3,11872.57,7
94,94,94,4,15305.39,11
95,95,95,2,5947.55,4
96,96,96,2,11536.13,6
97,97,97,6,24009.260000000002,14
98,98,98,4,20427.36,10
99,99,99,1,1180.75,3
100,100,100,7,29753.699999999997,17
101,101,101,2,10488.279999999999,4
102,102,102,4,14923.75,10
103,103,103,5,17591.91,11
104,104,104,8,29478.31,20
105,105,105,2,10612.009999999998,5
106,106,106,1,1367.41,2
107,107,107,1,2054.51,3
108,108,108,1,1242.7,3
109,109,109,3,18795.66,9
111,111,111,1,4863.76,2
112,112,112,4,26689.549999999996,12
113,113,113,2,5579.25,5
114,114,114,3,12795.84,8
115,115,115,1,3852.64,3
116,116,116,2,5385.530000000001,5
117,117,117,1,2711.1,2
118,118,118,2,7298.799999999999,5
119,119,119,2,7541.76,4
