seq,level_1_category,level_2_category,upc,price
1,00000001,00000101,0031763793564,1181.89
2,00000001,00000101,0476568744401,1226.82
3,00000001,00000101,0663031243589,246.63
4,00000001,00000101,0072347442188,571.90
5,00000001,00000101,1206735055509,702.00
6,00000001,00000101,1069378029364,660.54
7,00000001,00000101,1139438640577,764.59
8,00000001,00000101,0493109051521,1097.45
9,00000001,00000101,1322302142684,949.87
10,00000001,00000101,0954209719457,960.14
11,00000001,00000101,0947769479244,320.59
12,00000001,00000101,1055613377574,277.52
13,00000001,00000101,0028493143608,90.79
14,00000001,00000101,0450399285425,1321.22
15,00000001,00000101,1093098619741,468.16
16,00000001,00000101,0095571305746,771.31
17,00000001,00000101,1307913311421,1439.45
18,00000001,00000101,0078562523671,853.24
19,00000001,00000101,1352949584325,744.30
20,00000001,00000101,1357913653755,171.12
21,00000001,00000101,0429627873772,1039.00
22,00000001,00000101,0982829238362,843.12
23,00000001,00000101,0225818955834,412.20
24,00000001,00000101,1279916761285,1463.73
25,00000001,00000101,0118873172813,61.32
26,00000001,00000101,0121540503650,1455.34
27,00000001,00000101,0815729428949,1188.35
28,00000001,00000101,0415622935232,890.78
29,00000001,00000101,1193519485471,472.76
30,00000001,00000101,1016987717519,899.76
31,00000001,00000101,1044518478455,1052.30
32,00000001,00000101,0769110667496,283.68
33,00000001,00000101,0200571809587,1101.50
34,00000001,00000101,0163810002180,448.13
35,00000001,00000101,0032685542643,382.94
36,00000001,00000101,0527026318525,642.77
37,00000001,00000101,0157087917889,223.19
38,00000001,00000101,0214207278883,303.86
39,00000001,00000101,0181483112753,304.64
40,00000001,00000101,0772288206503,84.77
41,00000001,00000101,0294436057336,882.30
42,00000001,00000101,0121955945625,177.50
43,00000001,00000101,0965852831960,938.85
44,00000001,00000101,0353008557503,1300.32
45,00000001,00000101,1046227530233,420.54
46,00000001,00000101,0054982450957,945.45
47,00000001,00000101,1034433177564,1364.88
48,00000001,00000101,1204245966292,1080.66
49,00000001,00000101,0915151439749,324.33
50,00000001,00000101,0842817877051,1340.60
51,00000001,00000101,0973974739378,1442.64
52,00000001,00000101,0210939826408,643.75
53,00000001,00000101,0434605118509,324.48
54,00000001,00000101,1195361275996,364.26
55,00000001,00000101,0297758172237,559.57
56,00000001,00000101,0776586285529,1308.78
57,00000001,00000101,0437382987528,61.83
58,00000001,00000101,0043224579310,1098.56
59,00000001,00000101,0774354044019,187.13
60,00000001,00000101,0188903346613,904.66
61,00000001,00000101,1247609223365,427.75
62,00000001,00000101,1100581622178,764.78
63,00000001,00000101,0272666815537,946.50
64,00000001,00000102,1010448029630,97.36
65,00000001,00000102,1350943882096,744.84
66,00000001,00000102,0898858486592,1312.99
67,00000001,00000102,0560983564536,223.80
68,00000001,00000102,0366472099592,1329.72
69,00000001,00000102,1091052175227,1079.85
70,00000001,00000102,0016245073068,1403.49
71,00000001,00000102,0544968924768,230.30
72,00000001,00000102,1354741677441,1049.69
73,00000001,00000102,0689963133873,1484.72
74,00000001,00000102,1158863096056,946.12
75,00000001,00000102,0523106353813,566.48
76,00000001,00000102,1350913049559,441.11
77,00000001,00000102,0487753278526,1489.96
78,00000001,00000102,0241966056896,106.14
79,00000001,00000102,0855695852850,331.38
80,00000001,00000102,1355232100295,693.52
81,00000001,00000102,0145115454307,963.97
82,00000001,00000102,0070989636699,255.85
83,00000001,00000102,0753129236484,1182.85
84,00000001,00000102,0839541318783,722.78
85,00000001,00000102,0521259910327,220.38
86,00000001,00000102,0752760284045,548.19
87,00000001,00000102,0360577732538,123.20
88,00000001,00000102,0689500799333,45.48
89,00000001,00000102,0661973056120,161.10
90,00000001,00000102,0780456175599,929.99
91,00000001,00000102,0291920157787,614.99
92,00000001,00000102,1333667509241,1423.50
93,00000001,00000102,0747629839740,1191.86
94,00000001,00000102,0587436200186,1344.48
95,00000001,00000102,0446339283637,1392.87
96,00000001,00000102,1315772842871,1394.14
97,00000001,00000102,0550680573979,456.85
98,00000001,00000102,1343333200556,408.66
99,00000001,00000102,0578386677531,1029.30
100,00000001,00000102,1144435875860,297.45
101,00000001,00000102,0926270044318,885.11
102,00000001,00000102,1261265282047,889.72
103,00000001,00000102,0690973085540,1049.39
104,00000001,00000102,0613734842060,1220.77
105,00000001,00000102,0599193010083,1286.31
106,00000001,00000102,0740719059417,1377.50
107,00000001,00000102,1104577132108,1373.40
108,00000001,00000102,1168983645317,1057.31
109,00000001,00000102,0990616372472,229.00
110,00000001,00000102,1213716865873,493.85
111,00000001,00000102,0508573019851,549.42
112,00000001,00000102,1114856121846,932.50
113,00000001,00000102,0997784071992,753.51
114,00000001,00000102,0190073389451,611.94
115,00000001,00000102,0041712274860,645.89
116,00000001,00000102,0347522808777,351.24
117,00000001,00000102,1291933469463,998.43
118,00000001,00000102,1322839053682,1172.84
119,00000001,00000102,0593105223073,383.61
120,00000001,00000103,1030844611291,743.15
121,00000001,00000103,1033833391129,184.72
122,00000001,00000103,0561219512963,933.00
123,00000001,00000103,0403254572369,756.52
124,00000001,00000103,1055197589493,1095.47
125,00000001,00000103,0793688669583,553.20
126,00000001,00000103,0639351630620,1132.79
127,00000001,00000103,0303076375851,1080.30
128,00000001,00000103,0341075692371,1409.77
129,00000001,00000103,0845342556347,638.34
130,00000001,00000103,0356511021196,1313.15
131,00000001,00000103,0612845478427,1156.41
132,00000001,00000103,0820161540562,1230.40
133,00000001,00000103,1214182590900,599.40
134,00000001,00000103,0384772538719,896.53
135,00000001,00000103,0740896953812,1200.37
136,00000001,00000103,0831434615030,1496.92
137,00000001,00000103,1290306980246,1325.47
138,00000001,00000103,0887241507983,997.62
139,00000001,00000103,0356530132828,363.92
140,00000001,00000103,0345448996110,1348.86
141,00000001,00000103,1077572368783,627.57
142,00000001,00000103,0692218712587,989.73
143,00000001,00000103,0535989594788,206.46
144,00000001,00000103,1082008771006,407.74
145,00000001,00000103,0038129248669,975.32
146,00000001,00000103,0922531120548,144.77
147,00000001,00000103,0956375342798,181.40
148,00000001,00000103,0019906767498,841.60
149,00000001,00000103,1386906414455,21.57
150,00000001,00000103,1094651556596,1467.47
151,00000001,00000103,0652724186357,1244.24
152,00000001,00000103,1349294443346,919.36
153,00000001,00000103,0798662584302,526.50
154,00000001,00000103,0131288438657,1382.99
155,00000001,00000103,1030422877309,932.21
156,00000001,00000103,1075410015288,236.78
157,00000001,00000103,0269800879883,1169.54
158,00000001,00000103,0298465830885,39.70
159,00000001,00000103,0855504302309,350.31
160,00000001,00000103,0075742051283,1182.37
161,00000001,00000103,0806540848115,1347.72
162,00000001,00000103,0908220119611,1011.66
163,00000001,00000103,0365725892577,693.48
164,00000001,00000103,0967444499329,81.55
165,00000001,00000103,1362328386181,513.50
166,00000001,00000103,1150123235281,294.39
167,00000001,00000103,0416216428994,614.66
168,00000001,00000103,0732618060311,951.88
169,00000001,00000103,1187389036352,313.67
170,00000001,00000103,0461268443822,768.70
171,00000001,00000103,0827698324818,1313.63
172,00000001,00000103,1212531783485,488.69
173,00000001,00000103,0035451565082,1067.43
174,00000001,00000103,1116410093958,372.93
175,00000001,00000103,1074450626881,405.26
176,00000001,00000103,1045386140031,1440.46
177,00000001,00000103,1282469610641,30.00
178,00000001,00000103,0321335429329,638.26
179,00000001,00000103,1322897650830,605.72
180,00000001,00000103,0787487222858,1097.53
181,00000001,00000103,1392380886749,333.82
182,00000001,00000103,1059511389844,602.88
183,00000001,00000103,0990774151865,1346.98
184,00000001,00000103,1204106779214,83.17
185,00000001,00000103,0312799389175,1324.88
186,00000001,00000103,0833138418320,14.81
187,00000001,00000103,1333217681557,351.80
188,00000001,00000103,0418432339627,858.80
189,00000001,00000103,0928856427423,1023.98
190,00000001,00000103,0764913851073,466.67
191,00000001,00000103,0124149843929,1182.72
192,00000001,00000103,0017222455075,107.20
